103.176: [GC [PSYoungGen: 322223K->19331K(326528K)] 816247K->518857K(1025600K), 0.0441670 secs] [Times: user=0.10 sys=0.00, real=0.05 secs] 
103.602: [GC [PSYoungGen: 323331K->20247K(326528K)] 822857K->529726K(1025600K), 0.0540070 secs] [Times: user=0.13 sys=0.00, real=0.05 secs] 
104.103: [GC [PSYoungGen: 324311K->15972K(320064K)] 833790K->534938K(1019136K), 0.0529140 secs] [Times: user=0.10 sys=0.00, real=0.05 secs] 
104.503: [GC [PSYoungGen: 320036K->16486K(326848K)] 839002K->541859K(1025920K), 0.0480950 secs] [Times: user=0.10 sys=0.00, real=0.05 secs] 
104.953: [GC [PSYoungGen: 320550K->20604K(324672K)] 845923K->551546K(1023744K), 0.0519110 secs] [Times: user=0.10 sys=0.00, real=0.05 secs] 
105.424: [GC [PSYoungGen: 324668K->16094K(326464K)] 855610K->553597K(1025536K), 0.0515370 secs] [Times: user=0.10 sys=0.00, real=0.05 secs] 
105.975: [GC [PSYoungGen: 319454K->20436K(323840K)] 856957K->565635K(1022912K), 0.0771580 secs] [Times: user=0.11 sys=0.00, real=0.08 secs] 
106.451: [GC [PSYoungGen: 323796K->16565K(326272K)] 868995K->571565K(1025344K), 0.0621060 secs] [Times: user=0.11 sys=0.00, real=0.06 secs] 
106.978: [GC [PSYoungGen: 319413K->19047K(326080K)] 874413K->578400K(1025152K), 0.0615880 secs] [Times: user=0.10 sys=0.01, real=0.06 secs] 
107.431: [GC [PSYoungGen: 321895K->16011K(326528K)] 881248K->582440K(1025600K), 0.0789890 secs] [Times: user=0.09 sys=0.00, real=0.08 secs] 
107.816: [GC [PSYoungGen: 319499K->21397K(324928K)] 885928K->591951K(1024000K), 0.0457080 secs] [Times: user=0.12 sys=0.00, real=0.05 secs] 
108.263: [GC [PSYoungGen: 324885K->19241K(326016K)] 895439K->600077K(1025088K), 0.0640200 secs] [Times: user=0.12 sys=0.00, real=0.06 secs] 
108.716: [GC [PSYoungGen: 321577K->18961K(325824K)] 902413K->605140K(1024896K), 0.0566070 secs] [Times: user=0.10 sys=0.00, real=0.06 secs] 
109.098: [GC [PSYoungGen: 321297K->18781K(326720K)] 907476K->613244K(1025792K), 0.0920230 secs] [Times: user=0.12 sys=0.00, real=0.10 secs] 
109.550: [GC [PSYoungGen: 322333K->18525K(326336K)] 916796K->620620K(1025408K), 0.0599450 secs] [Times: user=0.11 sys=0.00, real=0.06 secs] 
110.081: [GC [PSYoungGen: 322077K->20822K(326208K)] 924172K->627950K(1025280K), 0.0456780 secs] [Times: user=0.13 sys=0.00, real=0.04 secs] 
110.572: [GC [PSYoungGen: 324630K->14600K(318464K)] 931758K->629847K(1017536K), 0.0480210 secs] [Times: user=0.10 sys=0.00, real=0.05 secs] 
110.994: [GC [PSYoungGen: 318408K->18886K(326656K)] 933655K->639235K(1025728K), 0.0610100 secs] [Times: user=0.10 sys=0.02, real=0.06 secs] 
111.470: [GC [PSYoungGen: 322374K->17087K(326336K)] 942723K->644627K(1025408K), 0.0500420 secs] [Times: user=0.10 sys=0.01, real=0.05 secs] 
111.901: [GC [PSYoungGen: 320575K->19750K(326592K)] 948115K->651943K(1025664K), 0.0440730 secs] [Times: user=0.12 sys=0.00, real=0.04 secs] 
112.521: [GC [PSYoungGen: 323686K->19557K(326720K)] 955879K->660745K(1025792K), 0.0731500 secs] [Times: user=0.11 sys=0.01, real=0.07 secs] 
112.999: [GC [PSYoungGen: 323493K->18628K(327168K)] 964681K->665002K(1026240K), 0.0556870 secs] [Times: user=0.10 sys=0.00, real=0.05 secs] 
113.561: [GC [PSYoungGen: 323076K->16184K(326784K)] 969450K->670105K(1025856K), 0.0397600 secs] [Times: user=0.11 sys=0.00, real=0.04 secs] 
113.995: [GC [PSYoungGen: 320623K->19803K(326848K)] 974544K->679828K(1025920K), 0.0826910 secs] [Times: user=0.11 sys=0.00, real=0.08 secs] 
114.521: [GC [PSYoungGen: 324251K->13544K(318016K)] 984276K->677953K(1017088K), 0.0587710 secs] [Times: user=0.08 sys=0.00, real=0.06 secs] 
115.017: [GC [PSYoungGen: 317992K->20728K(325504K)] 982401K->688942K(1024576K), 0.0706000 secs] [Times: user=0.11 sys=0.00, real=0.07 secs] 
115.447: [GC [PSYoungGen: 323256K->21198K(323776K)] 991470K->700436K(1022848K), 0.0730020 secs] [Times: user=0.16 sys=0.00, real=0.08 secs] 
115.883: [GC [PSYoungGen: 323726K->12485K(324544K)] 1002964K->698088K(1023616K), 0.0554170 secs] [Times: user=0.08 sys=0.00, real=0.05 secs] 
116.282: [GC [PSYoungGen: 312965K->21144K(321664K)] 998568K->710413K(1020736K), 0.0693130 secs] [Times: user=0.10 sys=0.00, real=0.07 secs] 
116.352: [Full GC [PSYoungGen: 21144K->0K(321664K)] [PSOldGen: 689269K->209336K(699072K)] 710413K->209336K(1020736K) [PSPermGen: 91713K->91713K(262144K)], 1.1583400 secs] [Times: user=1.16 sys=0.00, real=1.16 secs] 
117.815: [GC [PSYoungGen: 300480K->20411K(324160K)] 509816K->229747K(1023232K), 0.0368950 secs] [Times: user=0.09 sys=0.00, real=0.04 secs] 
118.268: [GC [PSYoungGen: 319483K->19931K(324288K)] 528819K->236415K(1023360K), 0.0450110 secs] [Times: user=0.10 sys=0.01, real=0.05 secs] 
118.658: [GC [PSYoungGen: 319003K->20213K(324480K)] 535487K->242750K(1023552K), 0.0565750 secs] [Times: user=0.11 sys=0.00, real=0.06 secs] 
119.089: [GC [PSYoungGen: 319605K->13710K(313152K)] 542142K->242107K(1012224K), 0.0285290 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
119.490: [GC [PSYoungGen: 313102K->19661K(324416K)] 541499K->254683K(1023488K), 0.0762540 secs] [Times: user=0.10 sys=0.00, real=0.07 secs] 
119.889: [GC [PSYoungGen: 318861K->13233K(312448K)] 553883K->257879K(1011520K), 0.0502880 secs] [Times: user=0.09 sys=0.00, real=0.05 secs] 
120.288: [GC [PSYoungGen: 312433K->18484K(324736K)] 557079K->268511K(1023808K), 0.0475710 secs] [Times: user=0.09 sys=0.00, real=0.05 secs] 
120.673: [GC [PSYoungGen: 317940K->20399K(324224K)] 567967K->278944K(1023296K), 0.0610010 secs] [Times: user=0.13 sys=0.01, real=0.06 secs] 
121.074: [GC [PSYoungGen: 319855K->17278K(325056K)] 578400K->281959K(1024128K), 0.0704250 secs] [Times: user=0.11 sys=0.00, real=0.07 secs] 
121.575: [GC [PSYoungGen: 317310K->21686K(321728K)] 581991K->293074K(1020800K), 0.0426310 secs] [Times: user=0.10 sys=0.00, real=0.04 secs] 
122.046: [GC [PSYoungGen: 321718K->16148K(324608K)] 593106K->295516K(1023680K), 0.0500910 secs] [Times: user=0.10 sys=0.00, real=0.05 secs] 
122.479: [GC [PSYoungGen: 315604K->18797K(324352K)] 594972K->303524K(1023424K), 0.0545070 secs] [Times: user=0.09 sys=0.00, real=0.06 secs] 
122.911: [GC [PSYoungGen: 318253K->14596K(325056K)] 602980K->309011K(1024128K), 0.0396140 secs] [Times: user=0.10 sys=0.00, real=0.04 secs] 
